Seller,Equilibrium_Price,Equilibrium_AD_Budget,Equilibrium_Demand,Equilibrium_Profit,Production_Cost,Profit_Margin,Initial_Price,Initial_AD_Budget,Initial_Profit
Seller_A,14.799993873158988,50.00002147483648,84357.59993937508,1079726.7623569232,2.0,12.799993873158988,0.5348366308648953,100,-123574.73714558092
Seller_B,14.699994793659075,50.00004294967296,25161.59995425633,306921.38839910994,2.5,12.199994793659075,2.5780429060279024,150,1811.036498306385
Seller_C,14.899997986402614,50.000030064771074,11550.600049394392,137402.1172994704,3.0,11.899997986402614,10.211728265158488,120,84119.68819409481
