Iteration,Seller_A_Price,Seller_A_AD,Seller_A_Profit,Seller_A_Demand,Seller_B_Price,Seller_B_AD,Seller_B_Profit,Seller_B_Demand,Seller_C_Price,Seller_C_AD,Seller_C_Profit,Seller_C_Demand,Max_Change
0,12.517573860938384,58.0,886941.7541647477,84335.01546007769,12.760486864964466,66.0,257929.41893661636,25144.559155138086,14.149876522425352,61.2,128931.73090804492,11569.000844861914,60.0
1,14.434811817750143,51.28,1048874.6678764112,84353.98647361241,14.389677898394318,52.56,299078.3417831945,25158.873464822093,14.77998024358805,51.792,136048.72965581832,11553.544135177906,9.600000000000001
2,14.741569890840024,50.2048,1074790.6847036832,84357.02183577798,14.650348463743093,50.4096,305666.49776891654,25161.163754371533,14.880796838974081,50.28672,137185.64183576044,11551.071061628465,1.5360000000000014
3,14.790651182534406,50.032768,1078937.420212262,84357.50749372448,14.692055754198897,50.065536,306720.713531887,25161.530200699443,14.896927494235847,50.0458752,137367.50150948684,11550.675369860555,0.2457599999999971
4,14.798504189205508,50.00524288,1079600.9023177298,84357.58519899592,14.698728920671826,50.01048576,306889.39089057676,25161.58883211191,14.899508399077728,50.007340032,137396.5978726414,11550.612059177689,0.039321600000000956
5,14.799760670272883,50.0008388608,1079707.0595678613,84357.59763183934,14.699796627307494,50.001677721600004,306916.37934058445,25161.598213137906,14.89992134385243,50.00117440512,137401.2532604193,11550.60192946843,0.0062914559999995845
6,14.799961707243662,50.000134217728004,1079724.0447307818,84357.5996210943,14.699967460369201,50.000268435456,306920.6974944447,25161.599714102063,14.899987415016382,50.0001879048192,137401.99812168741,11550.60030871495,0.001006632959999365
7,14.799993873158988,50.00002147483648,1079726.7623569232,84357.59993937508,14.699994793659075,50.00004294967296,306921.38839910994,25161.59995425633,14.899997986402614,50.000030064771074,137402.1172994704,11550.600049394392,0.00016106127360160372
